y,P
0.54303,-0.063402
0.5457,-0.059197
0.54837,-0.053852
0.55103,-0.047413
0.5537,-0.03944
0.55637,-0.029908
0.55904,-0.01911
0.56171,-0.0062976
0.56438,0.0090632
0.56704,0.026937
0.56971,0.045274
0.57238,0.065897
0.57505,0.087845
0.57772,0.11194
0.58039,0.13706
0.58306,0.16435
0.58572,0.19377
0.58839,0.22648
0.59106,0.25921
0.59373,0.29593
0.5964,0.33147
0.59907,0.36709
0.60173,0.40475
0.6044,0.43962
0.60707,0.477
0.60974,0.51307
0.61241,0.54973
0.61508,0.58043
0.61775,0.61495
0.62041,0.65139
0.62308,0.67285
0.62575,0.6977
0.62842,0.72367
0.63109,0.73964
0.63376,0.75327
0.63642,0.76598
0.63909,0.772
0.64176,0.77069
0.64443,0.77138
0.6471,0.76518
0.64977,0.75361
0.65243,0.74271
0.6551,0.73058
0.65777,0.70409
0.66044,0.68147
0.66311,0.66128
0.66578,0.63752
0.66845,0.61086
0.67111,0.58483
0.67378,0.5613
0.67645,0.5354
0.67912,0.51009
0.68179,0.48502
0.68446,0.4602
0.68712,0.43578
0.68979,0.41412
0.69246,0.39535
0.69513,0.37684
0.6978,0.36102
0.70047,0.34675
0.70314,0.33266
0.7058,0.32449
0.70847,0.31317
0.71114,0.3027
0.71381,0.29343
0.71648,0.2864
0.71915,0.27894
0.72181,0.27251
0.72448,0.26582
0.72715,0.25963
0.72982,0.25382
0.73249,0.24796
0.73516,0.24395
0.73783,0.24014
0.74049,0.23625
0.74316,0.23337
0.74583,0.23045
0.7485,0.22785
0.75117,0.2267
0.75384,0.22449
0.7565,0.22211
0.75917,0.22033
0.76184,0.21832
0.76451,0.21705
0.76718,0.21588
0.76985,0.21479
0.77252,0.21367
0.77518,0.21278
0.77785,0.21201
0.78052,0.21102
0.78319,0.20962
0.78586,0.20853
0.78853,0.20779
0.79119,0.20752
0.79386,0.20681
0.79653,0.2056
0.7992,0.20513
0.80187,0.20467
0.80454,0.2042
0.8072,0.2038
0.80987,0.20339
0.81254,0.20298
0.81521,0.20255
0.81788,0.20196
0.82055,0.20141
0.82322,0.20088
0.82588,0.20032
0.82855,0.19979
0.83122,0.19933
0.83389,0.19892
0.83656,0.19851
0.83923,0.1981
0.84189,0.19774
0.84456,0.19739
0.84723,0.19743
0.8499,0.19693
0.85257,0.19642
0.85524,0.196
0.85791,0.19519
0.86057,0.19475
0.86324,0.1943
0.86591,0.19385
0.86858,0.19346
0.87125,0.19311
0.87392,0.19275
0.87658,0.19238
0.87925,0.19199
0.88192,0.19159
0.88459,0.19118
0.88726,0.19124
0.88993,0.19045
0.8926,0.19005
0.89526,0.18965
0.89793,0.18922
0.9006,0.18879
0.90327,0.18835
0.90594,0.18794
0.90861,0.18744
0.91127,0.18701
0.91394,0.18654
0.91661,0.18606
0.91928,0.18557
0.92195,0.1851
0.92462,0.18463
0.92728,0.18409
