y,U,UpUp,V,VpVp,Pxx,Pyy
1.0636,1.2455,0.001251,-0.060171,0.0022791,0.00035579,0.00039494
1.0652,1.2451,0.0012474,-0.059986,0.0022688,0.00035388,0.00039193
1.0668,1.2448,0.001244,-0.059799,0.0022585,0.000352,0.00038886
1.0684,1.2444,0.0012402,-0.059612,0.0022481,0.00035014,0.00038576
1.07,1.244,0.0012364,-0.059426,0.0022376,0.0003483,0.00038265
1.0716,1.2437,0.0012326,-0.059242,0.002228,0.0003465,0.00037971
1.0732,1.2433,0.0012291,-0.059063,0.0022202,0.00034477,0.00037709
1.0748,1.243,0.0012257,-0.058881,0.0022104,0.00034294,0.00037426
1.0764,1.2426,0.0012223,-0.058698,0.0022004,0.0003411,0.00037143
1.078,1.2423,0.0012189,-0.058515,0.0021902,0.00033926,0.00036859
1.0796,1.2419,0.0012152,-0.058332,0.0021799,0.00033744,0.00036572
1.0812,1.2415,0.0012113,-0.05815,0.0021696,0.00033564,0.00036283
1.0828,1.2412,0.0012072,-0.057967,0.0021592,0.00033387,0.00035991
1.0844,1.2408,0.0012028,-0.057784,0.0021487,0.00033212,0.00035695
1.086,1.2405,0.0011996,-0.057603,0.0021393,0.00033039,0.00035423
1.0876,1.2401,0.0011966,-0.057423,0.0021303,0.00032869,0.00035158
1.0892,1.2398,0.0011932,-0.057244,0.0021212,0.00032702,0.00034891
1.0908,1.2394,0.0011897,-0.057064,0.002112,0.00032536,0.0003462
1.0924,1.2391,0.0011859,-0.056884,0.0021028,0.00032373,0.00034347
1.094,1.2387,0.0011823,-0.056706,0.0020934,0.00032206,0.00034082
1.0956,1.2384,0.0011791,-0.056529,0.0020839,0.00032032,0.00033833
1.0972,1.2381,0.0011756,-0.056352,0.0020742,0.0003186,0.00033581
1.0988,1.2377,0.001172,-0.056175,0.0020645,0.00031691,0.00033326
1.1004,1.2374,0.0011681,-0.055998,0.0020548,0.00031523,0.00033068
1.102,1.237,0.0011639,-0.055823,0.002046,0.00031365,0.00032816
1.1036,1.2367,0.0011611,-0.055648,0.0020374,0.00031203,0.00032578
1.1052,1.2363,0.0011582,-0.055473,0.0020292,0.00031047,0.00032339
1.1068,1.236,0.0011549,-0.0553,0.002021,0.00030892,0.000321
1.1084,1.2357,0.0011514,-0.055123,0.0020116,0.00030733,0.00031848
1.11,1.2353,0.0011477,-0.054948,0.0020026,0.00030578,0.00031597
1.1116,1.235,0.0011445,-0.054775,0.0019937,0.0003042,0.00031361
1.1132,1.2346,0.0011415,-0.054602,0.0019846,0.00030256,0.00031135
1.1148,1.2343,0.0011383,-0.05443,0.0019753,0.00030094,0.00030907
1.1164,1.234,0.0011349,-0.054257,0.0019661,0.00029935,0.00030675
1.118,1.2336,0.0011312,-0.054085,0.0019567,0.00029778,0.00030441
1.1196,1.2333,0.0011273,-0.053915,0.0019486,0.00029631,0.00030214
1.1212,1.233,0.0011234,-0.053745,0.0019405,0.00029484,0.00029988
1.1228,1.2326,0.0011204,-0.053578,0.0019323,0.00029327,0.00029786
1.1244,1.2323,0.0011172,-0.053411,0.0019241,0.00029172,0.00029582
